110	已从游戏中移除
534	消耗 100 万经验重置修仙者
584	红名与死亡惩罚时间减半
588	已从游戏中移除
634	重置修仙者，无需消耗经验
719	永久火把
720	永久火把
721	永久火把
722	永久火把
723	永久火把
724	永久火把
725	永久火把
726	永久火把
727	永久火把
728	永久火把
729	增益全账号共享
730	增益全账号共享
731	增益全账号共享
732	增益全账号共享
733	增益全账号共享
734	增益全账号共享
735	增益全账号共享
736	增益全账号共享
737	增益全账号共享
738	增益全账号共享
739	增益全账号共享
740	增益全账号共享
741	增益全账号共享
742	增益全账号共享
743	增益全账号共享且永久生效
744	增益全账号共享且永久生效
745	增益全账号共享且永久生效
746	增益全账号共享且永久生效
747	增益全账号共享且永久生效
748	增益全账号共享且永久生效
749	增益全账号共享且永久生效
750	增益全账号共享且永久生效
751	增益全账号共享且永久生效
752	增益全账号共享且永久生效
753	增益全账号共享且永久生效
754	增益全账号共享且永久生效
755	增益全账号共享且永久生效
756	任意等级均可全服喊话，增益全账号共享
757	更改发型与发色
758	更改性别
759	更改护甲染色
760	仓库增加 10 格
761	解锁专属制作仓库（占位）
762	更改角色名
765	从列表中选择地点传送（占位）
766	从列表中选择地点并精确传送（占位）
767	重置 3 级伙伴技能
768	重置 5 级伙伴技能
769	重置 7 级伙伴技能
770	重置 10 级伙伴技能
771	暂无效果
787	特修全身装备
788	特修全部佩戴饰品
789	特修头盔、护甲与鞋子
790	使用后立即复活
791	清除身上所有中毒状态
793	死亡时立即复活
794	死亡时立即复活
795	未拥有坐骑时无效
796	未拥有坐骑时无效
797	未拥有坐骑时无效
798	未拥有坐骑时无效
799	未拥有坐骑时无效
815	解锁伙伴外观
932	查看掉落进度
934	增益全账号共享
991	增益不共享账号
997	警告：请勿使用
1066	增益全账号共享
1089	冠军徽章
1092	提取当前武器属性（武器销毁）
1093	将属性附加到当前武器（旧属性清除）
1094	重置 11 级伙伴技能
1095	重置 13 级伙伴技能
1096	重置 15 级伙伴技能
1110	提取当前武器的强化属性
1111	将强化属性附加到当前武器（旧强化属性清除）
1126	增益全账号共享
1158	属性未完成
1159	属性未完成
1160	属性未完成
1161	属性未完成
1162	属性未完成
1163	属性未完成
1164	属性未完成
1165	属性未完成
1166	未拥有坐骑时无效
1167	未拥有坐骑时无效
